REGION,TECHNOLOGY,YEAR,VALUE
SIERRALEONE,SOLPV_PP,2015,1.0
SIERRALEONE,SOLPV_PP,2016,1.0
SIERRALEONE,SOLPV_PP,2017,1.0
SIERRALEONE,SOLPV_PP,2018,1.0
SIERRALEONE,SOLPV_PP,2019,1.0
SIERRALEONE,SOLPV_PP,2020,1.0
SIERRALEONE,SOLPV_PP,2021,1.0
SIERRALEONE,SOLPV_PP,2022,1.0
SIERRALEONE,SOLPV_PP,2023,1.0
SIERRALEONE,SOLPV_PP,2024,1.0
SIERRALEONE,SOLPV_PP,2025,1.0
SIERRALEONE,SOLPV_PP,2026,1.0
SIERRALEONE,SOLPV_PP,2027,1.0
SIERRALEONE,SOLPV_PP,2028,1.0
SIERRALEONE,SOLPV_PP,2029,1.0
SIERRALEONE,SOLPV_PP,2030,1.0
SIERRALEONE,SOLPV_PP,2031,1.0
SIERRALEONE,SOLPV_PP,2032,1.0
SIERRALEONE,SOLPV_PP,2033,1.0
SIERRALEONE,SOLPV_PP,2034,1.0
SIERRALEONE,SOLPV_PP,2035,1.0
SIERRALEONE,SOLPV_PP,2036,1.0
SIERRALEONE,SOLPV_PP,2037,1.0
SIERRALEONE,SOLPV_PP,2038,1.0
SIERRALEONE,SOLPV_PP,2039,1.0
SIERRALEONE,SOLPV_PP,2040,1.0
SIERRALEONE,SOLPV_PP,2041,1.0
SIERRALEONE,SOLPV_PP,2042,1.0
SIERRALEONE,SOLPV_PP,2043,1.0
SIERRALEONE,SOLPV_PP,2044,1.0
SIERRALEONE,SOLPV_PP,2045,1.0
SIERRALEONE,SOLPV_PP,2046,1.0
SIERRALEONE,SOLPV_PP,2047,1.0
SIERRALEONE,SOLPV_PP,2048,1.0
SIERRALEONE,SOLPV_PP,2049,1.0
SIERRALEONE,SOLPV_PP,2050,1.0
